1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
10 15 24 
11 14 24 
8 17 24 
7 18 24 
2 23 25 
1 24 25 
8 17 25 
7 18 25 
7 18 26 
11 14 26 
1 24 26 
8 25 26 
1 24 27 
8 17 27 
10 24 27 
11 14 27 
1 26 28 
11 26 28 
10 15 28 
10 15 28 
14 26 29 
9 16 29 
18 26 29 
8 27 29 
7 18 29 
26 29 30 
25 26 30 
18 29 30 
4 21 30 
1 27 31 
24 25 31 
8 27 31 
1 25 31 
8 17 32 
14 24 32 
7 24 32 
8 17 32 
18 29 33 
14 32 33 
18 25 33 
27 31 33 
11 14 34 
17 25 34 
1 25 34 
11 24 34 
10 15 35 
1 27 35 
1 26 35 
8 17 35 
9 29 36 
7 25 36 
8 17 36 
24 26 36 
1 31 37 
26 30 37 
10 15 37 
8 17 37 
25 36 38 
18 29 38 
7 32 38 
15 37 38 
9 16 39 
24 25 39 
10 24 39 
24 34 39 
18 33 40 
10 35 40 
24 36 40 
24 34 40 
11 26 41 
5 20 41 
10 24 41 
1 25 41 
26 30 42 
25 26 42 
1 31 42 
24 25 42 
25 39 43 
26 29 43 
24 32 43 
8 17 43 
24 34 44 
10 15 44 
1 28 44 
14 24 44 
9 29 45 
15 28 45 
26 37 45 
24 31 45 
1 26 46 
1 31 46 
10 28 46 
10 24 46 
28 44 47 
18 29 47 
17 27 47 
8 27 47 
4 21 48 
23 25 48 
18 29 48 
7 24 48 
24 36 49 
17 25 49 
1 31 49 
24 26 49 
18 30 50 
24 27 50 
25 43 50 
8 47 50 
9 29 51 
11 41 51 
26 30 51 
17 32 51 
14 29 52 
24 36 52 
1 31 52 
14 34 52 
17 37 53 
24 32 53 
37 45 53 
25 36 53 
9 51 53 
37 45 54 
16 29 54 
24 39 54 
24 49 54 
31 52 55 
1 49 55 
1 46 55 
11 24 55 
18 29 56 
7 18 56 
41 51 56 
31 52 56 
7 18 57 
26 36 57 
17 32 57 
8 27 57 
41 51 57 
49 54 58 
8 25 58 
11 27 58 
24 40 58 
7 18 59 
8 36 59 
45 54 59 
18 48 59 
11 34 60 
27 31 60 
24 25 60 
9 36 60 
10 35 61 
28 46 61 
7 18 61 
24 36 61 
24 32 62 
17 27 62 
11 34 62 
8 17 62 
17 51 63 
25 60 63 
7 59 63 
29 52 63 
49 58 64 
36 59 64 
18 29 64 
37 45 64 
1 31 64 
9 51 65 
17 57 65 
24 25 65 
24 40 65 
9 45 66 
26 29 66 
1 24 66 
9 39 66 
24 44 67 
49 64 67 
11 24 67 
17 32 67 
17 62 68 
37 53 68 
18 26 68 
15 38 68 
26 30 69 
25 65 69 
7 18 69 
26 29 69 
9 36 70 
17 51 70 
29 30 70 
17 25 70 
26 29 71 
51 57 71 
41 56 71 
15 38 71 
8 25 72 
27 31 72 
17 63 72 
15 38 72 
15 45 73 
10 35 73 
9 29 73 
51 70 73 
26 37 74 
9 66 74 
18 50 74 
24 48 74 
31 33 75 
10 35 75 
8 27 75 
28 44 75 
10 35 76 
9 66 76 
17 72 76 
24 53 76 
7 24 77 
36 60 77 
16 54 77 
18 29 77 
24 26 78 
24 53 78 
25 36 78 
25 38 78 
