1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
5 20 24 
2 23 25 
1 24 25 
4 21 26 
5 24 26 
11 14 27 
1 25 27 
14 27 28 
25 27 28 
7 18 29 
1 24 29 
3 22 30 
5 26 30 
25 27 31 
27 28 31 
26 30 32 
27 31 32 
27 31 33 
28 31 33 
5 26 34 
5 26 34 
27 33 35 
4 21 35 
7 29 36 
11 14 36 
4 21 37 
1 25 37 
1 29 38 
1 27 38 
27 38 39 
21 37 39 
25 31 40 
12 13 40 
27 38 41 
1 25 41 
1 41 42 
2 23 42 
1 24 43 
1 37 43 
24 26 44 
11 14 44 
6 19 45 
25 40 45 
24 26 46 
7 36 46 
2 23 47 
5 24 47 
21 26 48 
5 34 48 
27 39 49 
13 40 49 
7 18 50 
2 23 50 
5 47 51 
4 37 51 
5 20 52 
20 24 52 
5 34 53 
5 30 53 
5 34 54 
24 44 54 
14 28 55 
5 34 55 
13 40 56 
24 44 56 
44 54 57 
21 39 58 
2 47 58 
18 29 59 
41 42 59 
14 55 60 
4 21 60 
39 49 61 
13 40 61 
5 54 62 
14 28 62 
41 42 63 
34 55 63 
10 15 64 
12 13 64 
5 55 65 
14 28 65 
39 61 66 
31 33 66 
14 62 67 
14 55 67 
13 49 68 
12 64 68 
28 31 69 
25 28 69 
12 68 70 
1 43 70 
27 28 71 
4 26 71 
24 26 72 
7 29 72 
18 59 73 
23 50 73 
13 40 74 
42 63 74 
5 24 75 
1 25 75 
13 68 76 
27 49 76 
18 50 77 
14 67 77 
28 69 78 
1 43 78 
26 30 79 
28 69 79 
40 49 80 
25 28 80 
29 36 81 
24 26 81 
11 14 82 
1 75 82 
11 36 83 
3 30 83 
21 48 84 
4 21 84 
5 24 85 
40 56 85 
21 26 86 
1 24 86 
24 47 87 
4 21 87 
25 27 88 
34 54 88 
38 39 89 
54 57 89 
27 33 90 
18 29 90 
28 62 91 
27 49 91 
4 26 92 
40 61 92 
24 56 93 
2 42 93 
13 74 94 
11 14 94 
5 48 95 
21 60 95 
29 59 96 
21 26 96 
27 31 97 
27 31 97 
4 84 98 
2 23 98 
26 79 99 
18 77 99 
13 68 100 
11 36 100 
18 99 101 
42 63 101 
50 73 102 
3 83 102 
21 37 103 
4 26 103 
40 85 104 
5 24 104 
27 31 105 
13 100 105 
14 65 106 
3 30 106 
26 72 107 
24 85 107 
34 54 108 
34 54 108 
1 24 109 
27 31 109 
9 16 110 
8 17 110 
49 80 111 
4 26 112 
24 93 112 
68 76 113 
25 88 114 
3 83 114 
26 103 115 
55 65 115 
11 36 116 
1 27 116 
11 14 117 
27 28 117 
64 68 118 
29 81 118 
4 37 119 
11 83 119 
26 48 120 
72 107 120 
4 21 121 
8 110 121 
39 61 122 
81 118 122 
61 92 123 
14 28 123 
13 49 124 
13 74 124 
2 42 125 
26 79 125 
4 21 126 
25 75 126 
13 40 127 
26 30 127 
34 88 128 
81 118 128 
24 56 129 
11 36 129 
21 48 130 
4 37 130 
75 82 131 
14 62 131 
14 62 132 
40 85 132 
25 31 133 
63 101 133 
5 34 134 
50 73 134 
1 24 135 
34 63 135 
27 38 136 
40 85 136 
49 124 137 
50 134 137 
7 36 138 
26 96 138 
24 56 139 
11 36 139 
1 75 140 
38 39 140 
76 113 141 
41 63 141 
27 117 142 
26 112 142 
48 120 143 
65 106 143 
25 88 144 
83 114 144 
28 123 145 
25 45 145 
61 92 146 
2 47 147 
28 145 147 
25 45 148 
18 73 148 
3 30 149 
49 137 149 
27 38 150 
50 73 150 
1 24 151 
41 42 151 
26 125 152 
28 69 152 
1 24 153 
39 58 153 
37 130 154 
1 75 154 
2 23 155 
50 73 155 
27 31 156 
27 33 156 
26 34 157 
1 24 157 
85 136 158 
5 20 158 
27 38 159 
27 38 159 
37 43 160 
63 101 160 
24 44 161 
4 87 161 
2 25 162 
7 36 162 
8 17 163 
64 68 163 
34 55 164 
72 120 164 
72 120 165 
11 14 165 
56 139 166 
31 40 166 
4 98 167 
26 142 167 
24 153 168 
28 80 168 
18 77 169 
4 26 169 
61 122 170 
4 37 170 
69 79 171 
1 41 171 
1 82 172 
18 59 172 
15 64 173 
40 74 173 
14 165 174 
11 36 174 
29 81 175 
14 94 175 
26 96 176 
27 31 176 
11 14 177 
48 120 177 
20 52 178 
41 42 178 
64 163 179 
7 29 179 
3 22 180 
12 13 180 
63 135 181 
26 86 181 
13 49 182 
1 82 182 
5 158 183 
29 118 183 
5 26 184 
5 62 184 
21 48 185 
13 40 185 
24 72 186 
153 168 186 
11 174 187 
40 80 187 
8 110 188 
110 121 188 
9 110 189 
7 50 189 
30 127 190 
22 30 190 
44 56 191 
11 116 191 
27 38 192 
42 63 193 
21 185 193 
64 68 194 
72 186 194 
37 130 195 
21 26 195 
11 14 196 
5 134 196 
9 189 197 
26 34 197 
25 45 198 
4 126 198 
1 43 199 
92 146 199 
1 135 200 
29 36 200 
14 27 201 
21 86 201 
5 75 202 
27 39 202 
40 49 203 
61 123 203 
21 35 204 
11 14 204 
14 62 205 
25 27 205 
11 14 206 
2 23 206 
125 152 207 
1 43 207 
24 168 208 
59 96 208 
27 38 209 
2 23 209 
21 60 210 
31 105 210 
28 55 211 
49 137 211 
4 37 212 
92 146 212 
41 63 213 
21 39 213 
5 104 214 
82 172 214 
72 120 215 
28 145 215 
12 180 216 
13 74 216 
28 211 217 
14 201 217 
48 143 218 
15 64 218 
1 43 219 
18 59 219 
29 81 220 
4 21 220 
48 120 221 
63 141 221 
34 54 222 
24 109 222 
11 14 223 
36 116 223 
27 38 224 
4 21 224 
28 145 225 
24 47 225 
24 44 226 
34 164 226 
63 181 227 
134 137 227 
87 161 228 
50 73 228 
64 68 229 
50 228 229 
56 139 230 
24 86 230 
21 185 231 
37 130 231 
62 184 232 
4 98 232 
44 57 233 
14 62 233 
26 152 234 
5 62 234 
64 163 235 
1 24 235 
21 201 236 
54 108 236 
201 217 237 
44 56 237 
28 62 238 
25 69 238 
11 191 239 
37 160 239 
34 108 240 
44 237 240 
11 36 241 
7 189 241 
37 43 242 
14 131 242 
31 40 243 
31 133 243 
75 140 244 
37 160 244 
34 108 245 
11 83 245 
40 49 246 
11 14 246 
27 31 247 
42 63 247 
49 246 248 
18 172 248 
27 31 249 
11 14 249 
11 100 250 
13 40 250 
42 193 251 
5 34 251 
5 26 252 
27 31 252 
27 39 253 
27 38 253 
3 83 254 
25 80 254 
23 73 255 
72 186 255 
13 61 256 
21 193 256 
61 66 257 
24 161 257 
137 211 258 
11 36 258 
37 39 259 
26 127 259 
104 214 260 
55 65 260 
23 73 261 
14 242 262 
20 24 262 
31 105 263 
21 224 263 
29 81 264 
29 81 264 
5 95 265 
21 60 265 
69 78 266 
18 29 267 
24 56 267 
41 42 268 
98 232 268 
11 14 269 
13 185 269 
85 107 270 
143 218 270 
49 68 271 
23 25 272 
160 239 272 
3 102 273 
81 118 273 
4 167 274 
47 87 274 
26 48 275 
64 163 275 
11 250 276 
63 213 276 
62 184 277 
2 23 277 
27 176 278 
24 168 278 
14 223 279 
3 83 279 
69 266 280 
49 111 280 
30 127 281 
50 73 281 
5 24 282 
21 39 282 
27 176 283 
4 21 283 
13 74 284 
62 184 284 
213 276 285 
7 29 285 
28 33 286 
114 144 286 
15 64 287 
62 184 287 
118 273 288 
24 72 288 
61 66 289 
108 236 289 
29 59 290 
7 162 290 
31 133 291 
23 206 291 
63 74 292 
21 224 292 
3 30 293 
25 40 293 
30 127 294 
31 66 294 
24 46 295 
85 136 295 
186 255 296 
75 140 296 
28 123 297 
21 60 297 
23 73 298 
31 109 298 
114 144 299 
34 251 299 
23 255 300 
68 163 300 
11 258 301 
18 248 301 
18 59 302 
24 93 302 
62 234 303 
68 76 303 
1 43 304 
37 170 304 
63 276 305 
29 200 305 
4 35 306 
255 296 306 
224 292 307 
24 47 307 
3 83 308 
85 136 308 
69 78 309 
21 60 309 
