1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
4 21 24 
1 24 24 
6 19 24 
6 19 24 
8 17 24 
8 17 25 
8 17 25 
17 24 25 
19 24 25 
6 19 25 
7 18 26 
1 24 26 
5 20 26 
17 25 26 
9 16 26 
6 24 27 
1 24 27 
9 16 27 
17 25 27 
8 17 27 
19 24 28 
24 26 28 
4 21 28 
8 17 28 
11 14 28 
1 24 29 
17 27 29 
26 28 29 
1 24 29 
4 28 29 
7 18 30 
1 24 30 
8 17 30 
9 16 30 
19 25 30 
8 17 31 
25 27 31 
11 28 31 
6 24 31 
8 30 31 
19 24 32 
8 17 32 
4 21 32 
9 16 32 
4 28 32 
19 25 33 
8 31 33 
7 18 33 
5 20 33 
19 24 33 
6 19 34 
1 29 34 
1 24 34 
17 29 34 
4 32 34 
8 31 35 
17 24 35 
4 28 35 
9 16 35 
7 18 36 
4 32 36 
24 27 36 
4 21 36 
24 27 36 
31 33 37 
27 31 37 
17 32 37 
8 17 37 
16 35 37 
27 37 38 
11 14 38 
17 25 38 
1 29 38 
31 35 38 
11 28 39 
4 28 39 
1 29 39 
19 34 39 
6 34 39 
24 31 40 
4 21 40 
4 32 40 
6 34 40 
19 24 40 
27 31 41 
7 30 41 
25 31 41 
18 33 41 
34 39 41 
1 24 42 
19 24 42 
1 29 42 
24 31 42 
6 27 42 
24 40 43 
4 29 43 
19 28 43 
14 38 43 
9 35 43 
18 36 44 
25 41 44 
8 30 44 
4 40 44 
24 35 44 
24 25 45 
19 25 45 
21 28 45 
8 27 45 
31 33 45 
7 30 46 
6 42 46 
2 23 46 
19 24 46 
19 24 46 
24 25 47 
1 24 47 
17 24 47 
2 23 47 
25 38 47 
29 38 48 
35 43 48 
6 25 48 
1 29 48 
6 46 48 
38 48 49 
18 30 49 
7 33 49 
4 32 49 
8 17 49 
10 15 50 
19 24 50 
24 40 50 
31 40 50 
28 39 50 
8 35 51 
8 17 51 
7 30 51 
17 49 51 
8 44 51 
6 42 52 
1 24 52 
26 29 52 
1 34 52 
31 38 52 
11 39 53 
17 25 53 
19 45 53 
25 27 53 
1 24 53 
19 42 54 
8 30 54 
1 24 54 
4 40 54 
34 40 54 
8 54 55 
7 36 55 
2 46 55 
31 52 55 
19 24 55 
24 26 56 
28 39 56 
1 29 56 
4 21 56 
8 51 56 
6 31 57 
31 37 57 
8 54 57 
8 28 57 
25 53 57 
24 35 58 
1 24 58 
44 51 58 
6 42 58 
6 34 58 
27 31 59 
28 35 59 
29 38 59 
25 45 59 
35 44 59 
17 29 60 
31 38 60 
24 27 60 
7 30 60 
6 24 60 
19 50 61 
17 25 61 
4 43 61 
17 27 61 
6 19 61 
16 37 62 
9 16 62 
24 25 62 
24 47 62 
43 61 62 
23 46 63 
44 51 63 
18 30 63 
4 40 63 
34 52 63 
21 28 64 
19 25 64 
8 51 64 
17 51 64 
8 24 64 
51 64 65 
24 55 65 
31 57 65 
34 41 65 
2 23 65 
24 56 66 
4 40 66 
1 24 66 
28 29 66 
24 55 66 
24 25 67 
21 36 67 
1 24 67 
11 38 67 
20 26 67 
6 46 68 
24 47 68 
19 24 68 
17 35 68 
8 30 69 
25 61 69 
18 36 69 
24 36 69 
4 21 69 
1 30 70 
30 44 70 
24 29 70 
24 33 70 
3 22 70 
7 49 71 
1 29 71 
8 54 71 
2 55 71 
8 17 71 
45 53 72 
1 66 72 
46 48 72 
25 27 72 
19 24 72 
29 38 73 
28 35 73 
24 58 73 
21 40 73 
25 45 73 
35 59 74 
24 47 74 
25 73 74 
17 38 74 
7 18 74 
4 29 75 
20 26 75 
7 33 75 
8 35 75 
44 51 76 
35 74 76 
9 30 76 
2 71 76 
8 71 76 
4 61 77 
24 72 77 
34 39 77 
24 69 77 
49 71 77 
1 42 78 
1 29 78 
24 62 78 
28 43 78 
8 30 78 
17 37 79 
69 77 79 
31 57 79 
19 55 79 
24 50 79 
19 24 80 
8 51 80 
17 37 80 
56 66 80 
25 38 80 
1 24 81 
29 70 81 
52 63 81 
26 28 81 
29 78 81 
6 31 82 
50 79 82 
30 44 82 
17 25 82 
25 53 82 
24 43 83 
1 24 83 
8 31 83 
24 47 83 
24 31 83 
40 66 84 
44 51 84 
11 28 84 
23 65 84 
26 75 84 
6 42 85 
53 72 85 
2 23 85 
47 68 85 
19 28 85 
26 67 86 
7 51 86 
8 17 86 
17 25 86 
14 38 86 
17 25 87 
24 56 87 
30 60 87 
44 59 87 
4 21 87 
17 25 88 
61 77 88 
47 83 88 
44 51 88 
23 46 88 
16 37 89 
44 59 89 
19 43 89 
8 31 89 
29 60 89 
34 39 90 
69 77 90 
4 28 90 
37 79 90 
69 77 90 
25 45 91 
24 40 91 
24 77 91 
4 32 91 
28 78 91 
1 29 92 
49 71 92 
31 50 92 
32 40 92 
19 24 92 
6 42 93 
