1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
4 21 24 
4 21 24 
4 21 25 
8 17 25 
9 16 25 
4 21 26 
8 25 26 
8 26 27 
25 26 27 
4 21 27 
8 26 28 
6 19 28 
5 20 28 
4 27 29 
26 27 29 
1 24 29 
27 29 30 
8 25 30 
4 21 30 
4 27 31 
8 25 31 
16 25 31 
4 27 32 
25 26 32 
9 25 33 
25 31 33 
4 21 34 
25 26 34 
21 25 34 
9 25 35 
27 29 35 
6 28 35 
4 27 36 
4 24 36 
5 20 37 
4 27 37 
8 25 37 
28 35 38 
28 35 38 
8 25 38 
8 25 39 
8 26 39 
4 21 39 
27 29 40 
4 27 40 
4 27 40 
20 37 41 
19 28 41 
1 24 41 
4 32 42 
27 29 42 
8 26 42 
26 28 43 
4 21 43 
28 35 44 
27 42 44 
35 44 45 
9 16 45 
27 40 46 
20 28 46 
9 25 46 
25 34 47 
25 33 47 
19 41 48 
26 27 48 
1 24 48 
8 25 49 
21 26 49 
21 25 49 
28 43 50 
8 25 50 
8 39 50 
4 21 51 
25 26 51 
4 27 52 
25 33 52 
26 27 53 
4 21 53 
25 34 53 
16 25 54 
8 26 54 
26 49 54 
21 34 55 
8 49 55 
4 21 56 
26 34 56 
35 44 57 
10 15 57 
4 27 58 
8 26 58 
26 32 59 
21 34 59 
4 51 60 
27 30 60 
28 35 60 
26 29 61 
25 26 61 
34 56 62 
19 28 62 
25 34 62 
21 24 63 
29 61 63 
51 60 63 
10 15 64 
8 58 64 
8 31 64 
4 27 65 
8 37 65 
4 27 66 
41 48 66 
8 39 66 
21 43 67 
27 60 67 
25 61 67 
61 63 68 
28 35 68 
27 29 68 
4 27 69 
34 56 69 
21 67 69 
56 69 70 
29 40 70 
25 30 70 
42 44 71 
28 35 71 
28 35 72 
4 21 72 
21 34 73 
25 34 73 
29 30 74 
49 55 74 
28 46 75 
25 53 75 
17 25 75 
8 25 76 
27 65 76 
6 19 76 
26 54 77 
4 21 77 
8 50 77 
4 21 78 
5 20 78 
30 60 78 
4 40 79 
25 26 79 
21 39 79 
21 72 80 
27 29 80 
9 16 80 
58 64 81 
25 34 81 
19 28 81 
34 62 82 
20 78 82 
58 64 83 
19 28 83 
49 55 84 
56 69 84 
37 41 85 
25 75 85 
10 15 86 
26 53 86 
19 28 87 
21 25 87 
21 26 87 
31 64 88 
9 80 88 
