1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
2 23 24 
2 23 24 
1 24 24 
11 14 24 
8 17 25 
23 24 25 
7 18 25 
2 23 25 
11 14 26 
8 17 26 
11 14 26 
11 14 26 
23 24 27 
8 17 27 
23 24 27 
11 14 27 
24 25 28 
14 26 28 
11 14 28 
7 18 28 
17 25 29 
2 23 29 
11 26 29 
8 17 29 
12 13 30 
11 24 30 
4 21 30 
17 25 30 
1 24 31 
18 25 31 
17 26 31 
5 20 31 
8 25 32 
2 23 32 
2 23 32 
17 25 32 
25 32 33 
25 29 33 
23 25 33 
11 24 33 
25 32 34 
8 17 34 
11 14 34 
23 27 34 
11 30 35 
17 25 35 
2 23 35 
14 24 35 
4 21 36 
18 28 36 
25 33 36 
1 24 36 
17 34 37 
24 31 37 
14 28 37 
23 25 37 
7 25 38 
17 26 38 
8 29 38 
2 23 38 
18 28 39 
24 27 39 
23 24 39 
23 27 39 
26 31 40 
23 32 40 
2 25 40 
7 25 40 
18 25 41 
24 24 41 
8 25 41 
25 35 41 
2 23 42 
8 26 42 
11 14 42 
11 27 42 
25 41 43 
14 26 43 
1 24 43 
28 39 43 
25 32 44 
11 26 44 
1 24 44 
8 42 44 
5 31 45 
2 38 45 
8 17 45 
25 37 45 
25 37 46 
17 37 46 
17 25 46 
2 23 46 
2 23 47 
18 28 47 
23 32 47 
8 17 47 
38 45 48 
23 24 48 
8 45 48 
24 37 48 
8 42 49 
14 34 49 
23 34 49 
8 17 49 
2 24 50 
23 24 50 
17 32 50 
4 21 50 
25 30 51 
14 26 51 
24 50 51 
32 33 51 
7 38 52 
17 27 52 
25 38 52 
18 25 52 
1 44 53 
26 43 53 
1 31 53 
17 47 53 
4 21 54 
24 24 54 
23 50 54 
1 36 54 
24 36 55 
5 20 55 
26 44 55 
4 21 55 
18 47 56 
17 46 56 
14 28 56 
23 24 56 
32 34 57 
28 56 57 
5 55 57 
27 39 57 
23 39 58 
1 31 58 
44 53 58 
2 47 58 
5 45 59 
34 37 59 
20 31 59 
26 53 59 
35 41 60 
25 41 60 
20 59 60 
1 24 60 
2 23 61 
8 32 61 
17 52 61 
8 34 61 
14 43 62 
25 41 62 
11 14 62 
2 25 62 
23 25 63 
38 52 63 
23 24 63 
18 52 63 
25 32 64 
14 26 64 
7 38 64 
25 37 64 
8 32 65 
17 38 65 
20 60 65 
5 31 65 
24 48 66 
2 50 66 
27 39 66 
25 43 66 
8 45 67 
11 14 67 
25 35 67 
23 25 67 
2 38 68 
1 24 68 
27 39 68 
1 24 68 
34 49 69 
32 61 69 
20 55 69 
50 54 69 
23 47 70 
8 25 70 
26 43 70 
28 37 70 
26 64 71 
18 47 71 
34 37 71 
52 63 71 
38 64 72 
24 31 72 
26 43 72 
17 26 72 
24 51 73 
44 53 73 
34 49 73 
29 33 73 
43 62 74 
26 44 74 
29 33 74 
8 61 74 
27 66 75 
14 26 75 
8 41 75 
25 70 75 
26 43 76 
23 32 76 
27 39 76 
23 25 76 
53 59 77 
25 46 77 
25 45 77 
23 54 77 
35 60 78 
8 70 78 
17 25 78 
24 50 78 
28 39 79 
36 55 79 
11 26 79 
32 34 79 
4 21 80 
30 35 80 
38 45 80 
8 17 80 
23 24 81 
10 15 81 
25 37 81 
26 28 81 
32 65 82 
43 76 82 
15 81 82 
11 24 82 
8 25 83 
14 34 83 
26 40 83 
28 56 83 
26 44 84 
8 42 84 
23 38 84 
25 37 84 
26 43 85 
2 50 85 
38 52 85 
4 55 85 
81 82 86 
8 32 86 
23 24 86 
25 77 86 
29 73 87 
26 28 87 
25 45 87 
8 42 87 
11 26 88 
8 41 88 
7 64 88 
24 51 88 
28 56 88 
20 55 89 
5 59 89 
25 46 89 
52 61 89 
14 24 90 
17 26 90 
24 31 90 
7 25 90 
23 39 91 
23 24 91 
4 21 91 
25 77 91 
8 49 92 
30 80 92 
34 37 92 
39 68 92 
17 34 93 
21 30 93 
39 66 93 
41 60 93 
24 78 94 
23 39 94 
39 66 94 
38 80 94 
7 18 95 
34 59 95 
24 31 95 
12 13 95 
23 25 96 
11 26 96 
37 84 96 
5 31 96 
26 72 97 
39 68 97 
20 59 97 
52 85 97 
44 84 98 
23 32 98 
45 59 98 
81 82 98 
26 72 99 
50 78 99 
24 54 99 
17 27 99 
23 24 100 
38 72 100 
25 46 100 
23 76 100 
27 39 101 
24 90 101 
4 50 101 
8 34 101 
14 75 102 
27 39 102 
17 29 102 
11 24 102 
54 99 103 
41 60 103 
23 27 103 
25 87 103 
24 27 104 
34 37 104 
27 39 104 
17 102 104 
5 57 105 
43 62 105 
21 36 105 
11 30 105 
23 56 106 
44 74 106 
8 65 106 
24 36 106 
8 17 107 
26 71 107 
20 59 107 
24 102 107 
55 57 108 
8 44 108 
8 34 108 
23 27 108 
25 77 109 
39 66 109 
2 23 109 
23 25 109 
23 76 110 
7 90 110 
20 107 110 
45 87 110 
8 42 111 
23 49 111 
23 70 111 
54 99 111 
17 29 112 
34 92 112 
50 54 112 
55 85 112 
23 56 113 
8 108 113 
24 78 113 
6 19 113 
13 30 114 
23 70 114 
25 28 114 
20 55 114 
25 76 115 
14 28 115 
84 98 115 
23 49 115 
26 87 116 
63 71 116 
27 68 116 
34 37 116 
5 45 117 
25 40 117 
56 83 117 
32 86 117 
84 98 118 
55 108 118 
21 54 118 
25 51 118 
14 90 119 
59 107 119 
30 105 119 
38 72 119 
8 17 120 
17 25 120 
39 66 120 
8 61 120 
25 46 121 
31 95 121 
2 50 121 
24 78 121 
25 51 122 
37 71 122 
11 26 122 
76 115 122 
7 88 123 
23 24 123 
41 93 123 
2 25 123 
1 36 124 
1 24 124 
56 83 124 
14 43 124 
7 38 125 
70 78 125 
39 104 125 
11 26 125 
14 28 126 
25 37 126 
25 35 126 
5 31 126 
17 25 127 
2 85 127 
13 30 127 
7 25 127 
39 104 128 
24 31 128 
29 38 128 
5 117 128 
14 34 129 
78 94 129 
70 114 129 
26 116 129 
25 45 130 
23 24 130 
7 88 130 
25 44 130 
2 25 130 
56 83 131 
74 106 131 
34 49 131 
60 65 131 
8 17 132 
18 47 132 
7 52 132 
5 126 132 
38 80 133 
47 70 133 
17 56 133 
24 123 133 
8 83 134 
14 24 134 
25 41 134 
24 54 134 
17 27 135 
27 104 135 
11 14 135 
23 25 135 
38 100 136 
27 104 136 
17 56 136 
23 24 136 
27 135 137 
25 52 137 
25 32 137 
8 25 137 
23 108 138 
7 40 138 
55 112 138 
32 34 138 
26 125 139 
24 33 139 
39 68 139 
8 49 139 
64 71 140 
28 87 140 
54 99 140 
68 97 140 
24 51 141 
55 112 141 
24 130 141 
25 43 141 
32 61 142 
8 49 142 
8 25 142 
25 35 142 
25 123 143 
21 80 143 
25 28 143 
30 80 143 
59 89 144 
41 60 144 
17 38 144 
99 111 144 
42 44 145 
23 111 145 
56 131 145 
23 70 145 
26 88 146 
37 81 146 
23 61 146 
28 43 146 
11 24 147 
25 77 147 
70 129 147 
24 36 147 
23 114 148 
44 53 148 
43 53 148 
59 98 148 
17 29 149 
32 34 149 
56 83 149 
81 82 149 
56 131 150 
25 77 150 
25 83 150 
14 90 150 
8 17 151 
130 141 151 
4 50 151 
11 14 151 
17 47 152 
56 83 152 
59 98 152 
25 103 152 
23 111 153 
86 117 153 
8 42 153 
24 68 153 
31 95 154 
50 51 154 
45 67 154 
25 103 154 
28 56 155 
45 130 155 
54 112 155 
28 126 155 
24 90 156 
52 137 156 
14 151 156 
7 90 156 
37 146 157 
13 30 157 
23 27 157 
26 96 157 
1 68 158 
35 60 158 
7 38 158 
23 47 158 
27 39 158 
25 37 159 
54 103 159 
111 153 159 
27 39 159 
14 151 160 
41 134 160 
115 122 160 
43 76 160 
54 69 161 
31 121 161 
25 45 161 
114 148 161 
31 72 162 
20 59 162 
14 90 162 
24 90 162 
55 85 163 
23 29 163 
4 50 163 
12 13 163 
17 78 164 
24 56 164 
92 112 164 
70 78 164 
27 99 165 
26 87 165 
25 130 165 
17 102 165 
28 47 166 
34 112 166 
29 163 166 
38 63 166 
17 27 167 
18 25 167 
96 157 167 
25 143 167 
81 98 168 
13 30 168 
32 34 168 
99 111 168 
23 81 169 
34 37 169 
39 76 169 
25 64 169 
26 40 170 
44 53 170 
51 141 170 
24 130 170 
39 104 171 
2 61 171 
14 28 171 
34 49 171 
8 132 172 
54 103 172 
28 166 172 
129 147 172 
8 42 173 
25 115 173 
26 42 173 
49 115 173 
45 59 174 
24 51 174 
7 18 174 
14 102 174 
26 31 175 
26 44 175 
24 39 175 
84 118 175 
6 113 176 
2 38 176 
88 123 176 
71 107 176 
18 25 177 
2 23 177 
25 114 177 
43 72 177 
29 38 178 
26 71 178 
14 135 178 
2 177 178 
23 24 179 
29 38 179 
25 29 179 
68 97 179 
17 35 180 
26 43 180 
23 115 180 
24 51 180 
20 114 181 
28 143 181 
32 79 181 
25 143 181 
24 73 182 
44 148 182 
14 34 182 
20 55 182 
